"Test Article Name","Study Conclusion","Trial Result","Microsomal Activation Used",Protocol,"Study View",CASRN,"NTP Study ID"
"1,4-Dichlorobenzene",Equivocal,Negative,Nonactivation,"465704.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/465704.sift)","002-01091-0010-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01091-0010-0000-4)"," 106-46-7",465704
"1,4-Dichlorobenzene",Equivocal,Positive,Nonactivation,"465704.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/465704.sift)","002-01091-0010-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01091-0010-0000-4)"," 106-46-7",465704
"1,4-Dioxane",Negative,"Negative and Non-Toxic","Induced S9","120802.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/120802.sift)","002-01093-0013-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01093-0013-0000-9)"," 123-91-1",120802
"1,4-Dioxane",Negative,"Negative and Non-Toxic",Nonactivation,"120802.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/120802.sift)","002-01093-0013-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01093-0013-0000-9)"," 123-91-1",120802
1-Phenyl-2-thiourea,Positive,Negative,"Induced S9","688781.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/688781.sift)","002-01135-0007-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01135-0007-0000-9)"," 103-85-5",688781
1-Phenyl-2-thiourea,Positive,Positive,"Induced S9","688781.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/688781.sift)","002-01135-0007-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01135-0007-0000-9)"," 103-85-5",688781
1-Phenyl-2-thiourea,Positive,Inconclusive,Nonactivation,"688781.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/688781.sift)","002-01135-0007-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01135-0007-0000-9)"," 103-85-5",688781
1-Phenyl-2-thiourea,Positive,Positive,Nonactivation,"688781.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/688781.sift)","002-01135-0007-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01135-0007-0000-9)"," 103-85-5",688781
1-Phenyl-3-methyl-5-pyrazolone,Positive,Positive,"Induced S9","216441.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/216441.sift)","002-01136-0008-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01136-0008-0000-1)"," 89-25-8",216441
1-Phenyl-3-methyl-5-pyrazolone,Positive,Inconclusive,Nonactivation,"216441.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/216441.sift)","002-01136-0008-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01136-0008-0000-1)"," 89-25-8",216441
